"itemid","clock","num","value_min","value_avg","value_max"
"26690","1641333600","60","0.0088","0.0434","0.1488"
"26690","1641337200","60","0.0100","0.0378","0.0938"
"26690","1641340800","60","0.0012","0.0302","0.0900"
"26690","1641344400","60","0.0075","0.0474","0.1100"
"26690","1641348000","60","0.0025","0.0390","0.0988"
"26690","1641351600","60","0.0038","0.0422","0.1138"
"26690","1641355200","60","0.0162","0.0599","0.1412"
"26690","1641358800","60","0.0112","0.0628","0.1825"
"26690","1641362400","60","0.0213","0.0718","0.1575"
"26690","1641366000","60","0.0262","0.0808","0.1975"
"26690","1641369600","60","0.0238","0.0886","0.1713"
"26690","1641373200","60","0.0125","0.0830","0.2288"
"26690","1641376800","60","0.0200","0.1162","0.4625"
"26690","1641380400","60","0.0225","0.0905","0.2175"
"26690","1641384000","60","0.0112","0.0762","0.2112"
"26690","1641387600","60","0.0062","0.0641","0.1875"
"26690","1641391200","60","0.0200","0.0567","0.1450"
"26690","1641394800","60","0.0025","0.0513","0.1588"
"26690","1641398400","60","0.0150","0.0598","0.1612"
"26690","1641402000","60","0.0125","0.0550","0.1262"
"26690","1641405600","60","0.0175","0.0511","0.1412"
"26690","1641409200","60","0.0150","0.0554","0.1250"
"26690","1641412800","60","0.0075","0.0375","0.0900"
"26690","1641416400","60","0.0075","0.0398","0.1162"
"26690","1641420000","60","0.0038","0.0265","0.1062"
"26690","1641423600","60","0.0038","0.0237","0.0950"
"26690","1641427200","60","0.0038","0.0369","0.1062"
"26690","1641430800","60","0.0012","0.0378","0.1362"
"26690","1641434400","60","0.0062","0.0294","0.0988"
"26690","1641438000","60","0.0025","0.0328","0.1288"
"26690","1641441600","60","0.0075","0.0434","0.1175"
"26690","1641445200","60","0.0050","0.0511","0.1562"
"26690","1641448800","60","0.0188","0.0718","0.1375"
"26690","1641452400","60","0.0213","0.0718","0.1238"
"26690","1641456000","60","0.0125","0.0861","0.3700"
"26690","1641459600","60","0.0188","0.0769","0.1812"
"26690","1641463200","60","0.0213","0.0908","0.2200"
"26690","1641466800","60","0.0200","0.0717","0.1550"
"26690","1641470400","60","0.0225","0.0837","0.1638"
"26690","1641474000","60","0.0050","0.0697","0.2188"
"26690","1641477600","60","0.0175","0.0641","0.1475"
"26690","1641481200","60","0.0050","0.0540","0.1462"
"26690","1641484800","60","0.0125","0.0529","0.1288"
"26690","1641488400","60","0.0138","0.0564","0.1225"
"26690","1641492000","60","0.0062","0.0446","0.1650"
"26690","1641495600","60","0.0050","0.0446","0.1312"
"26690","1641499200","60","0.0050","0.0418","0.1075"
"26690","1641502800","60","0.0050","0.0380","0.1112"
"26690","1641506400","60","0.0012","0.0279","0.0925"
"26690","1641510000","60","0.0038","0.0303","0.1200"
"26690","1641513600","60","0.0075","0.0287","0.1200"
"26690","1641517200","60","0.0062","0.0379","0.1013"
"26690","1641520800","60","0.0025","0.0501","0.2188"
"26690","1641524400","60","0.0075","0.0399","0.0912"
"26690","1641528000","60","0.0050","0.0446","0.1500"
"26690","1641531600","60","0.0112","0.0445","0.1025"
"26690","1641535200","60","0.0112","0.0828","0.4162"
"26690","1641538800","60","0.0138","0.0560","0.1600"
"26690","1641542400","60","0.0150","0.0716","0.1662"
"26690","1641546000","60","0.0100","0.0679","0.1350"
"26690","1641549600","60","0.0175","0.0684","0.1688"
"26690","1641553200","60","0.0062","0.0468","0.1650"
"26690","1641556800","60","0.0162","0.0547","0.1450"
"26690","1641560400","60","0.0175","0.0647","0.1412"
"26690","1641564000","60","0.0075","0.0467","0.1225"
"26690","1641567600","60","0.0100","0.0433","0.1838"
"26690","1641571200","60","0.0088","0.0543","0.1325"
"26690","1641574800","60","0.0138","0.0485","0.1562"
"26690","1641578400","60","0.0075","0.0470","0.1425"
"26690","1641582000","60","0.0050","0.0451","0.1288"
"26690","1641585600","60","0.0075","0.0462","0.1425"
"26690","1641589200","60","0.0062","0.0631","0.1675"
"26690","1641592800","60","0.0062","0.0583","0.1488"
"26690","1641596400","60","0.0088","0.0823","0.2150"
"26690","1641600000","60","0.0138","0.0647","0.1500"
"26690","1641603600","60","0.0062","0.0675","0.1412"
"26690","1641607200","60","0.0050","0.0559","0.1912"
"26690","1641610800","60","0.0038","0.0402","0.1238"
"26690","1641614400","60","0.0100","0.0691","0.1488"
"26690","1641618000","60","0.0213","0.0728","0.2025"
"26690","1641621600","60","0.0088","0.0507","0.1300"
"26690","1641625200","60","0.0138","0.0661","0.2588"
"26690","1641628800","60","0.0112","0.0587","0.1525"
"26690","1641632400","60","0.0125","0.0640","0.1250"
"26690","1641636000","60","0.0250","0.0589","0.1600"
"26690","1641639600","60","0.0175","0.0682","0.1538"
"26690","1641643200","60","0.0238","0.0707","0.1588"
"26690","1641646800","60","0.0225","0.1132","0.5438"
"26690","1641650400","60","0.0200","0.0642","0.1262"
"26690","1641654000","60","0.0125","0.0598","0.1962"
"26690","1641657600","60","0.0175","0.0521","0.1425"
"26690","1641661200","60","0.0088","0.0432","0.1250"
"26690","1641664800","60","0.0088","0.0467","0.1288"
"26690","1641668400","60","0.0150","0.0539","0.2000"
"26690","1641672000","60","0.0088","0.0489","0.1250"
"26690","1641675600","60","0.0025","0.0310","0.0962"
"26690","1641679200","60","0.0038","0.0298","0.0825"
"26690","1641682800","60","0.0088","0.0306","0.1075"
"26690","1641686400","60","0.0038","0.0365","0.0938"
"26690","1641690000","60","0.0112","0.0451","0.1262"
"26690","1641693600","60","0.0050","0.0424","0.1412"
"26690","1641697200","60","0.0075","0.0423","0.0912"
"26690","1641700800","60","0.0062","0.0499","0.1438"
"26690","1641704400","60","0.0175","0.0643","0.2350"
"26690","1641708000","60","0.0225","0.0682","0.1475"
"26690","1641711600","60","0.0200","0.1028","0.2412"
"26690","1641715200","60","0.0188","0.0623","0.1713"
"26690","1641718800","60","0.0025","0.0652","0.2062"
"26690","1641722400","60","0.0238","0.0728","0.1625"
"26690","1641726000","60","0.0150","0.0615","0.1575"
"26690","1641729600","60","0.0138","0.0737","0.1912"
"26690","1641733200","60","0.0088","0.0544","0.1350"
"26690","1641736800","60","0.0238","0.0721","0.1788"
"26690","1641740400","60","0.0162","0.0633","0.1800"
"26690","1641744000","60","0.0138","0.0547","0.1288"
"26690","1641747600","60","0.0088","0.0444","0.1075"
"26690","1641751200","60","0.0100","0.0695","0.2550"
"26690","1641754800","60","0.0175","0.0633","0.2212"
"26690","1641758400","60","0.0050","0.0486","0.1450"
"26690","1641762000","60","0.0062","0.0382","0.0988"
"26690","1641765600","60","0.0112","0.0451","0.1325"
"26690","1641769200","60","0.0300","0.0806","0.1875"
"26690","1641772800","60","0.0188","0.0632","0.1400"
"26690","1641776400","60","0.0388","0.1191","0.2362"
"26690","1641780000","60","0.0225","0.1112","0.2500"
"26690","1641783600","60","0.0862","0.1787","0.3200"
"26690","1641787200","60","0.1288","0.3764","1.1863"
"26690","1641790800","60","0.1450","0.4320","1.0637"
"26690","1641794400","60","0.3625","0.5551","1.0600"
"26690","1641798000","60","0.2162","0.4949","0.9888"
"26690","1641801600","60","0.3088","0.5730","1.1050"
"26690","1641805200","60","0.2138","0.3772","0.6900"
"26690","1641808800","60","0.2388","0.4345","1.0000"
"26690","1641812400","60","0.2612","0.4829","1.0725"
"26690","1641816000","60","0.1888","0.4424","0.8188"
"26690","1641819600","60","0.1525","0.3186","0.5412"
"26690","1641823200","60","0.0275","0.1387","0.3650"
"26690","1641826800","60","0.0200","0.1104","0.2838"
"26690","1641830400","60","0.0088","0.0795","0.1762"
"26690","1641834000","60","0.0175","0.0880","0.2825"
"26690","1641837600","60","0.0138","0.0840","0.1938"
"26690","1641841200","60","0.0300","0.0810","0.1662"
"26690","1641844800","60","0.0162","0.0715","0.1538"
"26690","1641848400","60","0.0150","0.0585","0.1450"
"26690","1641852000","60","0.0075","0.1120","0.9988"
"26690","1641855600","60","0.0375","0.1297","0.5800"
"26690","1641859200","60","0.0288","0.1414","0.3500"
"26690","1641862800","60","0.0788","0.4149","5.2112"
"26690","1641866400","60","0.0025","0.0281","0.2475"
"26690","1641870000","60","0.0012","0.0202","0.0650"
"26690","1641873600","60","0.0038","0.0208","0.0838"
"26690","1641877200","60","0.0012","0.0185","0.0588"
"26690","1641880800","60","0.0062","0.0209","0.0400"
"26690","1641884400","60","0.0025","0.0228","0.0700"
"26690","1641888000","60","0.0038","0.0204","0.0538"
"26690","1641891600","60","0.0025","0.0201","0.0500"
"26690","1641895200","60","0.0025","0.0282","0.0988"
"26690","1641898800","60","0.0050","0.0229","0.0888"
"26690","1641902400","60","0.0050","0.0296","0.1100"
"26690","1641906000","60","0.0038","0.0275","0.0875"
"26690","1641909600","60","0.0062","0.0244","0.0950"
"26690","1641913200","60","0.0062","0.0229","0.0612"
"26690","1641916800","60","0.0038","0.0332","0.1050"
"26690","1641920400","60","0.0038","0.0283","0.0775"
"26690","1641924000","60","0.0038","0.0247","0.0550"
"26690","1641927600","60","0.0038","0.0238","0.0712"
"26690","1641931200","60","0.0112","0.0274","0.0650"
"26690","1641934800","60","0.0038","0.0176","0.0638"
"26690","1641938400","60","0.0025","0.0164","0.0662"
"26690","1641942000","60","0.0012","0.0171","0.0738"
"26690","1641945600","60","0.0025","0.0163","0.0425"
"26690","1641949200","60","0.0012","0.0175","0.0525"
"26690","1641952800","60","0.0025","0.0169","0.0488"
"26690","1641956400","60","0.0000","0.0168","0.0738"
"26690","1641960000","60","0.0062","0.0214","0.0738"
"26690","1641963600","60","0.0025","0.0159","0.0562"
"26690","1641967200","60","0.0012","0.0205","0.0875"
"26690","1641970800","60","0.0038","0.0185","0.0525"
"26690","1641974400","60","0.0012","0.0181","0.0562"
"26690","1641978000","60","0.0012","0.0187","0.0900"
"26690","1641981600","60","0.0025","0.0196","0.0575"
"26690","1641985200","60","0.0038","0.0267","0.1125"
"26690","1641988800","60","0.0062","0.0261","0.0700"
"26690","1641992400","60","0.0088","0.0310","0.0862"
"26690","1641996000","60","0.0050","0.0241","0.0662"
"26690","1641999600","60","0.0038","0.0246","0.0625"
"26690","1642003200","60","0.0025","0.0236","0.0962"
"26690","1642006800","60","0.0038","0.0329","0.1050"
"26690","1642010400","60","0.0075","0.0247","0.0725"
"26690","1642014000","60","0.0025","0.0241","0.1075"
"26690","1642017600","60","0.0075","0.0301","0.0688"
"26690","1642021200","60","0.0038","0.0210","0.0650"
"26690","1642024800","60","0.0025","0.0174","0.0562"
"26690","1642028400","60","0.0038","0.0202","0.0612"
"26690","1642032000","60","0.0025","0.0163","0.0425"
"26690","1642035600","60","0.0038","0.0176","0.0488"
"26690","1642039200","60","0.0025","0.0170","0.0400"
"26690","1642042800","60","0.0025","0.0208","0.0588"
"26690","1642046400","60","0.0025","0.0179","0.0412"
"26690","1642050000","60","0.0050","0.0199","0.0888"
"26690","1642053600","60","0.0062","0.0248","0.0562"
"26690","1642057200","60","0.0012","0.0188","0.0650"
"26690","1642060800","60","0.0025","0.0184","0.0538"
"26690","1642064400","60","0.0025","0.0192","0.0788"
"26690","1642068000","60","0.0012","0.0218","0.0600"
"26690","1642071600","60","0.0062","0.0253","0.0650"
"26690","1642075200","60","0.0075","0.0300","0.0788"
"26690","1642078800","60","0.0050","0.0302","0.0662"
"26690","1642082400","60","0.0062","0.0253","0.0650"
"26690","1642086000","60","0.0038","0.0278","0.0775"
"26690","1642089600","60","0.0075","0.0330","0.0862"
"26690","1642093200","60","0.0100","0.0335","0.1038"
"26690","1642096800","60","0.0075","0.0297","0.0812"
"26690","1642100400","60","0.0062","0.0273","0.0862"
"26690","1642104000","60","0.0050","0.0250","0.0550"
"26690","1642107600","60","0.0012","0.0247","0.0625"
"26690","1642111200","60","0.0012","0.0164","0.0500"
"26690","1642114800","60","0.0038","0.0198","0.0525"
"26690","1642118400","60","0.0038","0.0206","0.0612"
"26690","1642122000","60","0.0012","0.0199","0.0550"
"26690","1642125600","60","0.0038","0.0219","0.0812"
"26690","1642129200","60","0.0050","0.0206","0.0975"
"26690","1642132800","60","0.0012","0.0206","0.0562"
"26690","1642136400","60","0.0025","0.0187","0.0762"
"26690","1642140000","60","0.0012","0.0176","0.0662"
"26690","1642143600","60","0.0012","0.0144","0.0475"
"26690","1642147200","60","0.0038","0.0177","0.0475"
"26690","1642150800","60","0.0025","0.0171","0.0562"
"26690","1642154400","60","0.0038","0.0227","0.0662"
"26690","1642158000","60","0.0050","0.0203","0.0762"
"26690","1642161600","60","0.0038","0.0289","0.0788"
"26690","1642165200","60","0.0038","0.0246","0.1412"
"26690","1642168800","60","0.0025","0.0195","0.0488"
"26690","1642172400","60","0.0050","0.0242","0.0925"
"26690","1642176000","60","0.0050","0.0245","0.0525"
"26690","1642179600","60","0.0025","0.0285","0.0762"
"26690","1642183200","60","0.0050","0.0282","0.0500"
"26690","1642186800","60","0.0025","0.0237","0.0462"
"26690","1642190400","60","0.0025","0.0256","0.0850"
"26690","1642194000","60","0.0025","0.0215","0.0425"
"26690","1642197600","60","0.0012","0.0186","0.0500"
"26690","1642201200","60","0.0025","0.0187","0.0762"
"26690","1642204800","60","0.0038","0.0186","0.0450"
"26690","1642208400","60","0.0012","0.0198","0.0700"
"26690","1642212000","60","0.0012","0.0166","0.0600"
"26690","1642215600","60","0.0025","0.0197","0.0475"
"26690","1642219200","60","0.0025","0.0218","0.0850"
"26690","1642222800","60","0.0038","0.0175","0.0512"
"26690","1642226400","60","0.0038","0.0169","0.0488"
"26690","1642230000","60","0.0025","0.0220","0.0688"
"26690","1642233600","60","0.0025","0.0180","0.0488"
"26690","1642237200","60","0.0012","0.0172","0.0750"
"26690","1642240800","60","0.0012","0.0139","0.0375"
"26690","1642244400","60","0.0012","0.0220","0.0812"
"26690","1642248000","60","0.0012","0.0205","0.0712"
"26690","1642251600","60","0.0050","0.0186","0.0538"
"26690","1642255200","60","0.0038","0.0239","0.0800"
"26690","1642258800","60","0.0062","0.0248","0.0612"
"26690","1642262400","60","0.0012","0.0225","0.0700"
"26690","1642266000","60","0.0062","0.0270","0.0575"
"26690","1642269600","60","0.0050","0.0316","0.1188"
"26690","1642273200","60","0.0012","0.0252","0.0788"
"26690","1642276800","60","0.0038","0.0237","0.0650"
"26690","1642280400","60","0.0050","0.0252","0.0638"
"26690","1642284000","60","0.0038","0.0232","0.0550"
"26690","1642287600","60","0.0012","0.0194","0.0650"
"26690","1642291200","60","0.0012","0.0178","0.0638"
"26690","1642294800","60","0.0038","0.0200","0.0550"
"26690","1642298400","60","0.0025","0.0128","0.0412"
"26690","1642302000","60","0.0025","0.0190","0.0488"
"26690","1642305600","60","0.0025","0.0162","0.0475"
"26690","1642309200","60","0.0012","0.0163","0.0538"
"26690","1642312800","60","0.0012","0.0158","0.0438"
"26690","1642316400","60","0.0012","0.0203","0.0712"
"26690","1642320000","60","0.0012","0.0184","0.0562"
"26690","1642323600","60","0.0025","0.0155","0.0588"
"26690","1642327200","60","0.0038","0.0181","0.0475"
"26690","1642330800","60","0.0025","0.0221","0.0662"
"26690","1642334400","60","0.0038","0.0278","0.0738"
"26690","1642338000","60","0.0012","0.0207","0.0700"
"26690","1642341600","60","0.0038","0.0235","0.0912"
"26690","1642345200","60","0.0025","0.0234","0.0962"
"26690","1642348800","60","0.0050","0.0263","0.0962"
"26690","1642352400","60","0.0012","0.0233","0.0625"
"26690","1642356000","60","0.0038","0.0282","0.0875"
"26690","1642359600","60","0.0062","0.0288","0.0762"
"26690","1642363200","60","0.0012","0.0224","0.0800"
"26690","1642366800","60","0.0038","0.0224","0.0700"
"26690","1642370400","60","0.0012","0.0179","0.0550"
"26690","1642374000","60","0.0012","0.0183","0.0500"
"26690","1642377600","60","0.0012","0.0150","0.0425"
"26690","1642381200","60","0.0025","0.0177","0.0812"
"26690","1642384800","60","0.0025","0.0154","0.0388"
"26690","1642388400","60","0.0012","0.0176","0.0562"
"26690","1642392000","60","0.0012","0.0184","0.0600"
"26690","1642395600","60","0.0012","0.0190","0.0525"
"26690","1642399200","60","0.0012","0.0155","0.0412"
"26690","1642402800","60","0.0025","0.0185","0.0688"
"26690","1642406400","60","0.0038","0.0198","0.0612"
"26690","1642410000","60","0.0000","0.0162","0.0462"
"26690","1642413600","60","0.0025","0.0170","0.0562"
"26690","1642417200","60","0.0100","0.7079","1.9375"
"26690","1642420800","60","0.3338","0.6253","1.2275"
"26690","1642424400","60","0.2062","0.5119","1.7363"
"26690","1642428000","60","0.0350","0.2078","0.8388"
"26690","1642431600","60","0.0275","0.0862","0.2738"
"26690","1642435200","60","0.0225","0.0789","0.1900"
"26690","1642438800","60","0.0262","0.0838","0.1675"
"26690","1642442400","60","0.0213","0.0750","0.2225"
"26690","1642446000","60","0.0175","0.0763","0.2275"
"26690","1642449600","60","0.0062","0.0466","0.1450"
"26690","1642453200","60","0.0075","0.0350","0.0925"
"26690","1642456800","60","0.0038","0.0460","0.0988"
"26690","1642460400","60","0.0225","0.0904","0.1900"
"26690","1642464000","60","0.0450","0.3261","1.4262"
"26690","1642467600","60","0.1188","0.2739","0.4725"
"26690","1642471200","60","0.1600","0.3182","0.7712"
"26690","1642474800","60","0.1488","0.2806","0.5188"
"26690","1642478400","60","0.1662","0.3460","0.8600"
"26690","1642482000","60","0.3075","0.5345","0.8925"
"26690","1642485600","60","0.4750","0.7651","1.2912"
"26690","1642489200","60","0.4650","0.6920","0.9988"
"26690","1642492800","60","0.3550","0.7392","1.4562"
"26690","1642496400","60","0.1500","0.4351","0.8212"
"26690","1642500000","60","0.3438","0.7121","1.8450"
"26690","1642503600","60","0.4712","1.0613","1.8350"
"26690","1642507200","60","0.8350","1.9615","7.9000"
"26690","1642510800","60","0.3775","0.5914","1.9750"
"26690","1642514400","60","0.0238","0.4940","0.7662"
"26690","1642518000","60","0.0038","0.0227","0.0700"
"26690","1642521600","60","0.0088","0.0341","0.0775"
"26690","1642525200","60","0.0100","0.0289","0.0612"
"26690","1642528800","60","0.0025","0.0233","0.0675"
"26690","1642532400","60","0.0050","0.0236","0.0650"
"26690","1642536000","60","0.0025","0.0265","0.0575"
"26690","1642539600","60","0.0025","0.0205","0.0675"
"26690","1642543200","60","0.0025","0.0219","0.0750"
"26690","1642546800","60","0.0012","0.0174","0.0500"
"26690","1642550400","60","0.0038","0.0176","0.0825"
"26690","1642554000","60","0.0025","0.0726","0.1962"
"26690","1642557600","60","0.0525","0.1214","0.1775"
"26690","1642561200","60","0.0562","0.1210","0.1725"
"26690","1642564800","60","0.0662","0.1216","0.1737"
"26690","1642568400","60","0.0550","0.1199","0.1762"
"26690","1642572000","60","0.0612","1.0388","3.0088"
"26690","1642575600","60","0.5425","1.1932","2.2513"
"26690","1642579200","60","0.5062","0.9424","1.3862"
"26690","1642582800","60","0.3225","0.5802","1.1187"
"26690","1642586400","60","0.4450","0.8034","1.4462"
"26690","1642590000","60","0.5225","0.7635","1.3525"
"26690","1642593600","60","0.4262","0.6542","1.0437"
"26690","1642597200","60","0.3900","0.6382","0.9762"
"26690","1642600800","60","0.2013","0.4741","0.9150"
"26690","1642604400","60","0.1275","0.2744","0.4475"
"26690","1642608000","60","0.1075","0.2141","0.3600"
"26690","1642611600","60","0.0875","0.1839","0.3675"
"26690","1642615200","60","0.1038","0.1902","0.2800"
"26690","1642618800","60","0.0962","0.2191","0.3825"
"26690","1642622400","60","0.0800","0.1965","0.3800"
"26690","1642626000","60","0.0950","0.1697","0.2938"
"26690","1642629600","60","0.1013","0.1877","0.2775"
"26690","1642633200","60","0.1225","0.2433","0.4675"
