"itemid";"clock";"value";"ns"
"26690";"1671719930";"0.0213";"533107743"
"26690";"1671719990";"0.0125";"868615823"
"26690";"1671720050";"0.0050";"154531671"
"26690";"1671720110";"0.0088";"199056076"
"26690";"1671720170";"0.0112";"569867343"
"26690";"1671720230";"0.0088";"905138212"
"26690";"1671720290";"0.0188";"87794963"
"26690";"1671720350";"0.0062";"497643974"
"26690";"1671720410";"0.0088";"856430229"
"26690";"1671720470";"0.0038";"257816601"
"26690";"1671720530";"0.0088";"37142297"
"26690";"1671720590";"0.0025";"530272921"
"26690";"1671720650";"0.0150";"970136907"
"26690";"1671720710";"0.0062";"274780181"
"26690";"1671720770";"0.0138";"268862770"
"26690";"1671720830";"0.0138";"687424869"
"26690";"1671720890";"0.0200";"333350430"
"26690";"1671720950";"0.0462";"170581730"
"26690";"1671721010";"0.0175";"379075158"
"26690";"1671721070";"0.0062";"787219918"
"26690";"1671721130";"0.0175";"574360208"
"26690";"1671721190";"0.0200";"308600774"
"26690";"1671721250";"0.0150";"784107683"
"26690";"1671721310";"0.0062";"34497588"
"26690";"1671721370";"0.0025";"601150051"
"26690";"1671721430";"0.0112";"462088538"
"26690";"1671721490";"0.0038";"949987815"
"26690";"1671721550";"0.0088";"17661391"
"26690";"1671721610";"0.0175";"524809684"
"26690";"1671721670";"0.0200";"876045752"
"26690";"1671721730";"0.0475";"467612157"
"26690";"1671721790";"0.0275";"176178087"
"26690";"1671721850";"0.0100";"450242220"
"26690";"1671721910";"0.0112";"961306301"
"26690";"1671721970";"0.0188";"67352799"
"26690";"1671722030";"0.0062";"388924697"
"26690";"1671722090";"0.0488";"737648698"
"26690";"1671722150";"0.0350";"995227196"
"26690";"1671722210";"0.0275";"180283873"
"26690";"1671722270";"0.0225";"367837630"
"26690";"1671722330";"0.0088";"723580137"
"26690";"1671722390";"0.0075";"191784139"
"26690";"1671722450";"0.0088";"290041261"
"26690";"1671722510";"0.0088";"293889163"
"26690";"1671722570";"0.0188";"760105314"
"26690";"1671722630";"0.0138";"145993855"
"26690";"1671722690";"0.0050";"290040141"
"26690";"1671722750";"0.0275";"549879277"
"26690";"1671722810";"0.0312";"894310325"
"26690";"1671722870";"0.0125";"369533801"
"26690";"1671722930";"0.0050";"171362660"
"26690";"1671722990";"0.0062";"640020705"
"26690";"1671723050";"0.0088";"970323116"
"26690";"1671723110";"0.0125";"128754005"
"26690";"1671723170";"0.0050";"494475576"
"26690";"1671723230";"0.0300";"845986010"
"26690";"1671723290";"0.0112";"154560653"
"26690";"1671723350";"0.0100";"98119935"
"26690";"1671723410";"0.0300";"500711843"
"26690";"1671723470";"0.0112";"916754914"
"26690";"1671723530";"0.0038";"171728969"
"26690";"1671723590";"0.0150";"331310553"
"26690";"1671723650";"0.0500";"735241355"
"26690";"1671723710";"0.0188";"451229732"
"26690";"1671723770";"0.0112";"214460732"
"26690";"1671723830";"0.0038";"422815286"
"26690";"1671723890";"0.0012";"808808138"
"26690";"1671723950";"0.0338";"163722894"
"26690";"1671724010";"0.0125";"201745507"
"26690";"1671724070";"0.0138";"656060215"
"26690";"1671724135";"0.0050";"952997938"
"26690";"1671724190";"0.0213";"222133632"
"26690";"1671724250";"0.0138";"398241048"
"26690";"1671724310";"0.0150";"767391548"
"26690";"1671724370";"0.0050";"100811779"
"26690";"1671724430";"0.0075";"138870802"
"26690";"1671724490";"0.0025";"583536729"
"26690";"1671724550";"0.0012";"917426793"
"26690";"1671724610";"0.0138";"405201305"
"26690";"1671724670";"0.0238";"316455278"
"26690";"1671724730";"0.0162";"732003542"
"26690";"1671724791";"0.0200";"2823915"
"26690";"1671724850";"0.0150";"266544603"
"26690";"1671724910";"0.0225";"663702603"
"26690";"1671724970";"0.0550";"982851609"
"26690";"1671725030";"0.0650";"80707294"
"26690";"1671725090";"0.0562";"493528250"
"26690";"1671725150";"0.0375";"884867995"
"26690";"1671725210";"0.0225";"493706479"
"26690";"1671725270";"0.0200";"170135997"
"26690";"1671725330";"0.0112";"472433441"
"26690";"1671725390";"0.0312";"928157794"
"26690";"1671725450";"0.0112";"283224980"
"26690";"1671725510";"0.0038";"475822830"
"26690";"1671725570";"0.0050";"854591901"
"26690";"1671725630";"0.0025";"346043483"
"26690";"1671725690";"0.0012";"97823238"
"26690";"1671725750";"0.0050";"708334766"
"26690";"1671725810";"0.0012";"928884334"
"26690";"1671725870";"0.0100";"116231874"
"26690";"1671725930";"0.0200";"540495228"
"26690";"1671725990";"0.0200";"885965758"
"26690";"1671726050";"0.0188";"119521149"
"26690";"1671726110";"0.0612";"611849399"
"26690";"1671726170";"0.0225";"805718290"
"26690";"1671726230";"0.0138";"198867463"
"26690";"1671726290";"0.0050";"414019888"
"26690";"1671726350";"0.0062";"785980561"
"26690";"1671726410";"0.0088";"39664021"
"26690";"1671726470";"0.0038";"94491058"
"26690";"1671726530";"0.0338";"595178840"
"26690";"1671726590";"0.0125";"960637888"
"26690";"1671726650";"0.0050";"609203200"
"26690";"1671726710";"0.0088";"135774167"
"26690";"1671726770";"0.0038";"744774067"
"26690";"1671726830";"0.0012";"510594415"
"26690";"1671726890";"0.0088";"146786572"
"26690";"1671726950";"0.0025";"437391651"
"26690";"1671727015";"0.0275";"835783392"
"26690";"1671727070";"0.0112";"572109338"
"26690";"1671727130";"0.0038";"54693695"
"26690";"1671727190";"0.0300";"459088252"
"26690";"1671727250";"0.0112";"908124247"
"26690";"1671727310";"0.0088";"153066278"
"26690";"1671727370";"0.0138";"69350852"
"26690";"1671727430";"0.0200";"626452384"
"26690";"1671727490";"0.0125";"938447734"
"26690";"1671727550";"0.0050";"137789313"
"26690";"1671727610";"0.0012";"397035335"
"26690";"1671727670";"0.0012";"753435479"
"26690";"1671727730";"0.0125";"297368702"
"26690";"1671727790";"0.0412";"127443629"
"26690";"1671727850";"0.0275";"153349238"
"26690";"1671727910";"0.0150";"280883370"
"26690";"1671727970";"0.0112";"579273788"
"26690";"1671728030";"0.0112";"931451108"
"26690";"1671728090";"0.0038";"63474500"
"26690";"1671728150";"0.0012";"468026982"
"26690";"1671728210";"0.0600";"322218631"
"26690";"1671728270";"0.0225";"896384146"
"26690";"1671728330";"0.0150";"228596245"
"26690";"1671728390";"0.0213";"465629812"
"26690";"1671728450";"0.0175";"923140171"
"26690";"1671728510";"0.0125";"203402306"
"26690";"1671728570";"0.0050";"311252497"
"26690";"1671728630";"0.0012";"721140444"
"26690";"1671728690";"0.0075";"85187582"
"26690";"1671728750";"0.0112";"282875513"
"26690";"1671728810";"0.0200";"657512874"
"26690";"1671728870";"0.0075";"859181401"
"26690";"1671728930";"0.0088";"146687037"
"26690";"1671728990";"0.0112";"459237964"
"26690";"1671729050";"0.0350";"851395718"
"26690";"1671729110";"0.0125";"404626241"
"26690";"1671729170";"0.0138";"582800922"
"26690";"1671729230";"0.0162";"739548076"
"26690";"1671729290";"0.0150";"7408158"
"26690";"1671729350";"0.0050";"389955209"
"26690";"1671729410";"0.0025";"481560099"
"26690";"1671729470";"0.0012";"854516971"
"26690";"1671729530";"0.0188";"216331880"
"26690";"1671729590";"0.0062";"352609147"
"26690";"1671729650";"0.0175";"738434729"
"26690";"1671729710";"0.0112";"152895137"
"26690";"1671729770";"0.0138";"77585844"
"26690";"1671729830";"0.0162";"598147084"
"26690";"1671729890";"0.0300";"170071339"
"26690";"1671729950";"0.0112";"940420963"
"26690";"1671730010";"0.0138";"132061715"
"26690";"1671730070";"0.0050";"390649446"
"26690";"1671730130";"0.0025";"735088046"
"26690";"1671730190";"0.0062";"382976211"
"26690";"1671730250";"0.0138";"414017136"
"26690";"1671730310";"0.0325";"71818463"
"26690";"1671730370";"0.0200";"48583951"
"26690";"1671730430";"0.0075";"254658161"
"26690";"1671730490";"0.0138";"681658025"
"26690";"1671730550";"0.0050";"979868624"
"26690";"1671730610";"0.0138";"112142176"
"26690";"1671730670";"0.0125";"493862964"
"26690";"1671730730";"0.0050";"813863245"
"26690";"1671730790";"0.0100";"232944803"
"26690";"1671730850";"0.0125";"213059555"
"26690";"1671730910";"0.0050";"648354810"
"26690";"1671730970";"0.0100";"959218841"
"26690";"1671731030";"0.0300";"160335360"
"26690";"1671731090";"0.0175";"445501531"
"26690";"1671731150";"0.0200";"808512818"
"26690";"1671731210";"0.0075";"464007606"
"26690";"1671731270";"0.0125";"277407067"
"26690";"1671731330";"0.0050";"490698218"
"26690";"1671731390";"0.0012";"881019722"
"26690";"1671731450";"0.0050";"751886310"
"26690";"1671731510";"0.0112";"187014084"
"26690";"1671731570";"0.0038";"318898877"
"26690";"1671731630";"0.0012";"654164199"
"26690";"1671731690";"0.0050";"975609172"
"26690";"1671731750";"0.0775";"334760588"
"26690";"1671731810";"0.0338";"186667961"
"26690";"1671731870";"0.0125";"8138807"
"26690";"1671731930";"0.0138";"812846804"
"26690";"1671731990";"0.0150";"353086157"
"26690";"1671732050";"0.0050";"277601275"
"26690";"1671732110";"0.0175";"710111761"
"26690";"1671732170";"0.0275";"955991706"
"26690";"1671732230";"0.0275";"222399353"
"26690";"1671732290";"0.0200";"425067914"
"26690";"1671732350";"0.0075";"763530939"
"26690";"1671732410";"0.0025";"178108592"
"26690";"1671732470";"0.0075";"568379862"
"26690";"1671732530";"0.0075";"496396163"
"26690";"1671732590";"0.0025";"751020647"
"26690";"1671732650";"0.0488";"445295244"
"26690";"1671732710";"0.0400";"365088506"
"26690";"1671732770";"0.0275";"599520371"
"26690";"1671732830";"0.0188";"966964466"
"26690";"1671732890";"0.0062";"79091732"
"26690";"1671732950";"0.0112";"380751391"
"26690";"1671733010";"0.0138";"754200787"
"26690";"1671733070";"0.0050";"326675330"
"26690";"1671733130";"0.0112";"38211009"
"26690";"1671733190";"0.0075";"512184288"
"26690";"1671733250";"0.0125";"882972378"
"26690";"1671733310";"0.0088";"209252190"
"26690";"1671733370";"0.0125";"115278830"
"26690";"1671733430";"0.0138";"610321679"
"26690";"1671733490";"0.0162";"137434125"
"26690";"1671733550";"0.0188";"376009471"
"26690";"1671733610";"0.0062";"264466660"
"26690";"1671733670";"0.0062";"649298502"
"26690";"1671733730";"0.0025";"680985420"
"26690";"1671733790";"0.0050";"225804584"
"26690";"1671733850";"0.0025";"248387620"
"26690";"1671733910";"0.0262";"737236553"
"26690";"1671733970";"0.0150";"40108822"
"26690";"1671734030";"0.0150";"226876967"
"26690";"1671734090";"0.0050";"615257566"
"26690";"1671734150";"0.0075";"925741713"
"26690";"1671734210";"0.0088";"811790756"
"26690";"1671734270";"0.0088";"646229955"
"26690";"1671734330";"0.0038";"405720468"
"26690";"1671734390";"0.0062";"815559170"
"26690";"1671734450";"0.0088";"195320186"
"26690";"1671734510";"0.0100";"376179121"
"26690";"1671734570";"0.0150";"493926998"
"26690";"1671734630";"0.0050";"901647312"
"26690";"1671734690";"0.0075";"316406337"
"26690";"1671734750";"0.0100";"326927902"
"26690";"1671734810";"0.0038";"737624498"
"26690";"1671734870";"0.0012";"225270503"
"26690";"1671734930";"0.0088";"179385327"
"26690";"1671734990";"0.0138";"621688013"
"26690";"1671735050";"0.0150";"958918236"
"26690";"1671735110";"0.0125";"145833630"
"26690";"1671735170";"0.0675";"110905645"
"26690";"1671735230";"0.0350";"696423819"
"26690";"1671735290";"0.0325";"975625660"
"26690";"1671735350";"0.0125";"110566471"
"26690";"1671735410";"0.0050";"470155414"
"26690";"1671735475";"0.0050";"814476112"
"26690";"1671735530";"0.0112";"280387938"
"26690";"1671735590";"0.0038";"345067624"
"26690";"1671735650";"0.0062";"800964451"
"26690";"1671735710";"0.0100";"276279246"
"26690";"1671735770";"0.0088";"219427079"
"26690";"1671735830";"0.0038";"669209937"
"26690";"1671735890";"0.0012";"245596549"
"26690";"1671735950";"0.0050";"293446775"
"26690";"1671736010";"0.0025";"421567643"
"26690";"1671736070";"0.0012";"879804999"
"26690";"1671736130";"0.0062";"234489230"
"26690";"1671736190";"0.0025";"260655736"
"26690";"1671736250";"0.0062";"552469695"
"26690";"1671736310";"0.0325";"972669872"
"26690";"1671736370";"0.0188";"264517157"
"26690";"1671736430";"0.0138";"118123414"
"26690";"1671736490";"0.0050";"798316264"
"26690";"1671736550";"0.0088";"268925733"
"26690";"1671736610";"0.0100";"281818875"
"26690";"1671736670";"0.0038";"451966117"
"26690";"1671736730";"0.0088";"809265701"
"26690";"1671736790";"0.0088";"27389201"
"26690";"1671736850";"0.0038";"455046243"
"26690";"1671736910";"0.0188";"622808003"
"26690";"1671736970";"0.0112";"934104014"
"26690";"1671737030";"0.0038";"617153312"
"26690";"1671737090";"0.0112";"155456933"
"26690";"1671737150";"0.0188";"632552571"
"26690";"1671737210";"0.0350";"939652726"
"26690";"1671737270";"0.0175";"84860034"
"26690";"1671737330";"0.0062";"47832265"
"26690";"1671737390";"0.0025";"652116743"
"26690";"1671737450";"0.0050";"917121506"
"26690";"1671737510";"0.0012";"201451478"
"26690";"1671737570";"0.0012";"311629702"
"26690";"1671737630";"0.0050";"739581831"
"26690";"1671737690";"0.0012";"837995524"
"26690";"1671737750";"0.0275";"51405599"
"26690";"1671737810";"0.0225";"21354043"
"26690";"1671737870";"0.0075";"686463088"
"26690";"1671737930";"0.0075";"612209147"
"26690";"1671737990";"0.0112";"232925225"
"26690";"1671738050";"0.0038";"451751970"
"26690";"1671738110";"0.0112";"824270586"
"26690";"1671738170";"0.0262";"283132333"
"26690";"1671738230";"0.0162";"255595931"
"26690";"1671738290";"0.0112";"844119531"
"26690";"1671738350";"0.0038";"903173404"
"26690";"1671738410";"0.0225";"411712061"
"26690";"1671738470";"0.0075";"45892543"
"26690";"1671738530";"0.0200";"493807641"
"26690";"1671738590";"0.0200";"870734305"
"26690";"1671738650";"0.0125";"211080572"
"26690";"1671738710";"0.0188";"113107290"
"26690";"1671738770";"0.0112";"658179353"
"26690";"1671738830";"0.0162";"955705362"
"26690";"1671738890";"0.0138";"223464367"
"26690";"1671738950";"0.0050";"270657847"
"26690";"1671739010";"0.0275";"693604500"
"26690";"1671739070";"0.0550";"995095165"
"26690";"1671739130";"0.0200";"100136620"
"26690";"1671739190";"0.0175";"487108778"
"26690";"1671739250";"0.0112";"845816099"
"26690";"1671739310";"0.0138";"409864099"
"26690";"1671739370";"0.0475";"50480730"
"26690";"1671739430";"0.0213";"576103809"
"26690";"1671739490";"0.0250";"923578783"
"26690";"1671739550";"0.0088";"91669097"
"26690";"1671739610";"0.0075";"491516076"
"26690";"1671739670";"0.0075";"857374820"
"26690";"1671739730";"0.0138";"166327360"
"26690";"1671739790";"0.0050";"246749151"
"26690";"1671739850";"0.0012";"724163537"
"26690";"1671739910";"0.0062";"741640985"
"26690";"1671739970";"0.0025";"211130388"
"26690";"1671740030";"0.0012";"594189602"
"26690";"1671740090";"0.0112";"953174709"
"26690";"1671740150";"0.0125";"256792717"
"26690";"1671740210";"0.0188";"366917499"
"26690";"1671740270";"0.0150";"781501600"
"26690";"1671740330";"0.0138";"232500658"
"26690";"1671740390";"0.0175";"401011834"
"26690";"1671740455";"0.0062";"745033111"
"26690";"1671740510";"0.0025";"118025294"
"26690";"1671740570";"0.0138";"115211608"
"26690";"1671740635";"0.0112";"431176119"
"26690";"1671740690";"0.0125";"794637119"
"26690";"1671740750";"0.0050";"278832778"
"26690";"1671740810";"0.0012";"138576733"
"26690";"1671740870";"0.0125";"673418863"
"26690";"1671740930";"0.0538";"895054402"
"26690";"1671740990";"0.0200";"110395934"
"26690";"1671741050";"0.0213";"337904384"
"26690";"1671741110";"0.0162";"777231843"
"26690";"1671741170";"0.0162";"99894931"
"26690";"1671741230";"0.0125";"451829656"
"26690";"1671741290";"0.0162";"583820523"
"26690";"1671741350";"0.0062";"975964024"
"26690";"1671741410";"0.0125";"212937883"
"26690";"1671741470";"0.0050";"347688887"
"26690";"1671741530";"0.0238";"762917186"
"26690";"1671741590";"0.0438";"73459875"
"26690";"1671741650";"0.0162";"216094837"
"26690";"1671741710";"0.0150";"216313083"
"26690";"1671741770";"0.0138";"790591657"
"26690";"1671741830";"0.0050";"155428252"
"26690";"1671741890";"0.0075";"211564336"
"26690";"1671741950";"0.0025";"618856104"
"26690";"1671742010";"0.0062";"118241375"
"26690";"1671742070";"0.0125";"114076017"
"26690";"1671742130";"0.0150";"453442515"
"26690";"1671742190";"0.0112";"789756144"
"26690";"1671742250";"0.0038";"274179944"
"26690";"1671742310";"0.0062";"387335456"
"26690";"1671742370";"0.0188";"725991602"
"26690";"1671742430";"0.0062";"351564457"
"26690";"1671742490";"0.0025";"43551031"
"26690";"1671742550";"0.0012";"374981013"
"26690";"1671742610";"0.0000";"732538583"
"26690";"1671742670";"0.0862";"286537352"
"26690";"1671742730";"0.0375";"70353992"
"26690";"1671742790";"0.0188";"400510738"
"26690";"1671742850";"0.0150";"802062643"
"26690";"1671742910";"0.0213";"775614264"
"26690";"1671742970";"0.0162";"258766109"
"26690";"1671743030";"0.0062";"422613687"
"26690";"1671743090";"0.0112";"791865003"
"26690";"1671743150";"0.0138";"244877227"
"26690";"1671743210";"0.0138";"125137864"
"26690";"1671743270";"0.0050";"299716641"
"26690";"1671743330";"0.0025";"639021288"
"26690";"1671743390";"0.0188";"960312676"
"26690";"1671743450";"0.0075";"338082570"
"26690";"1671743510";"0.0075";"285982167"
"26690";"1671743570";"0.0025";"761985325"
"26690";"1671743630";"0.0325";"719169719"
"26690";"1671743690";"0.0162";"74152926"
"26690";"1671743750";"0.0062";"566400394"
"26690";"1671743810";"0.0025";"909035956"
"26690";"1671743870";"0.0150";"480739266"
"26690";"1671743930";"0.0138";"226310029"
"26690";"1671743990";"0.0100";"718025354"
"26690";"1671744050";"0.0125";"37869007"
"26690";"1671744110";"0.0175";"37706544"
"26690";"1671744170";"0.0225";"570895556"
"26690";"1671744230";"0.0225";"880473996"
"26690";"1671744290";"0.0088";"122793384"
"26690";"1671744350";"0.0288";"171575207"
"26690";"1671744410";"0.0100";"670471397"
"26690";"1671744470";"0.0112";"632930338"
"26690";"1671744530";"0.0100";"397848102"
"26690";"1671744590";"0.0075";"180801137"
"26690";"1671744650";"0.0162";"601234367"
"26690";"1671744710";"0.0100";"918822302"
"26690";"1671744770";"0.0038";"60881408"
"26690";"1671744830";"0.0288";"504990700"
"26690";"1671744890";"0.0150";"848930353"
"26690";"1671744950";"0.0213";"290266977"
"26690";"1671745010";"0.0175";"425352306"
"26690";"1671745070";"0.0062";"678621058"
"26690";"1671745130";"0.0125";"970985409"
"26690";"1671745190";"0.0050";"46869744"
"26690";"1671745250";"0.0450";"547312638"
"26690";"1671745310";"0.0162";"896518964"
"26690";"1671745370";"0.0362";"290567335"
"26690";"1671745430";"0.0262";"225669400"
"26690";"1671745490";"0.0088";"676839717"
"26690";"1671745550";"0.0038";"985290102"
"26690";"1671745610";"0.0088";"430460988"
"26690";"1671745670";"0.0038";"103742899"
"26690";"1671745730";"0.0075";"681065529"
"26690";"1671745790";"0.0025";"208413729"
"26690";"1671745850";"0.0150";"66426575"
"26690";"1671745910";"0.0238";"567039385"
"26690";"1671745970";"0.0138";"891171900"
"26690";"1671746030";"0.0175";"352505356"
"26690";"1671746090";"0.0062";"49523223"
"26690";"1671746150";"0.0150";"691648529"
"26690";"1671746210";"0.0062";"978684235"
"26690";"1671746270";"0.0088";"296404347"
"26690";"1671746330";"0.0100";"551466671"
"26690";"1671746390";"0.0038";"888697298"
"26690";"1671746450";"0.0188";"514147908"
"26690";"1671746510";"0.0213";"682135673"
"26690";"1671746570";"0.0088";"66655881"
"26690";"1671746630";"0.0500";"458046348"
"26690";"1671746690";"0.0188";"610759344"
"26690";"1671746750";"0.0150";"985686834"
"26690";"1671746810";"0.0150";"223878764"
"26690";"1671746870";"0.0062";"518529789"
"26690";"1671746930";"0.0112";"869481014"
"26690";"1671746990";"0.0213";"347933570"
"26690";"1671747050";"0.0300";"150007503"
"26690";"1671747110";"0.0725";"751794263"
"26690";"1671747170";"0.0338";"127684252"
"26690";"1671747230";"0.0238";"176686602"
"26690";"1671747290";"0.0088";"574008654"
"26690";"1671747350";"0.0075";"935881906"
"26690";"1671747410";"0.0025";"114106841"
